source,target
0,28
0,46
0,21
0,13
0,16
1,32
1,7
1,35
1,39
1,24
2,5
2,49
2,18
2,3
2,21
3,21
3,28
3,2
3,5
3,0
4,37
4,10
4,15
4,3
4,19
5,2
5,49
5,18
5,3
5,13
6,20
6,41
6,34
6,31
6,48
7,32
7,1
7,40
7,35
7,24
8,33
8,10
8,16
8,45
8,0
9,15
9,27
9,42
9,4
9,37
10,8
10,33
10,37
10,4
10,3
11,44
11,42
11,27
11,15
11,9
12,34
12,41
12,46
12,45
12,16
13,18
13,28
13,22
13,21
13,0
14,17
14,22
14,38
14,48
14,30
15,42
15,27
15,4
15,37
15,9
16,45
16,33
16,0
16,8
16,46
17,14
17,22
17,38
17,48
17,30
18,5
18,13
18,30
18,2
18,49
19,2
19,49
19,5
19,3
19,36
20,6
20,34
20,24
20,43
20,41
21,28
21,3
21,0
21,13
21,18
22,14
22,17
22,38
22,30
22,13
23,45
23,47
23,8
23,33
23,16
24,35
24,25
24,47
24,43
24,1
25,47
25,43
25,24
25,34
25,39
26,39
26,29
26,47
26,1
26,25
27,15
27,42
27,9
27,4
27,37
28,21
28,0
28,46
28,3
28,13
29,26
29,39
29,23
29,47
29,25
30,18
30,22
30,14
30,17
30,13
31,38
31,48
31,17
31,14
31,41
32,7
32,1
32,35
32,40
32,24
33,8
33,16
33,45
33,0
33,10
34,12
34,41
34,45
34,20
34,43
35,24
35,1
35,32
35,25
35,7
36,19
36,49
36,2
36,5
36,4
37,4
37,10
37,3
37,15
37,19
38,48
38,17
38,14
38,31
38,22
39,26
39,29
39,47
39,1
39,25
40,7
40,32
40,1
40,35
40,24
41,48
41,34
41,46
41,12
41,31
42,15
42,11
42,27
42,44
42,9
43,25
43,47
43,34
43,12
43,24
44,11
44,42
44,10
44,23
44,27
45,16
45,33
45,34
45,12
45,0
46,0
46,28
46,22
46,14
46,17
47,25
47,43
47,24
47,34
47,39
48,38
48,31
48,17
48,14
48,41
49,5
49,2
49,18
49,3
49,30
